Year,Film,C?,Bathtub,#B,Shower,#S,Other,Bathtub Actress 1,Bathtub Actress 2,Bathtub Actress 3,Bathtub Actress 4,Bathtub Actor 1,Bathtub Actor 2,Shower Actress 1,Shower Actress 2,Shower Actress 3,Shower Actor 1,Shower Actor 2,Shower Actor 3,Other Actress,Other Actor,M/F Bathtub Solo?,Bathtub Together?,Shower Togther?,M/F Shower Solo,Other Together?,Notes,Script,script_id,imdb_id,gross (inflation-adjusted),Notes
1988,Dead Ringers,,,,,,,,,,,,,,,,,,,,,,,,,,,Dead Ringers.pdf,7215,tt0094964,19,
1988,Die Hard,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Die Hard Script.html,2154,tt0095016,172,
1988,The Big Blue,,Bathtub,1,,,,,,,,Jean Bouise,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Big Blue, The Script.html",1815,tt0095250,,
1988,The Great Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,"GREAT OUTDOORS, THE by John Hughes [10.18.1987].pdf",7308,tt0095253,87,
1988,Halloween 4: The Return of Michael Myers,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/halloween4.txt,4315,tt0095271,37,
1988,A Nightmare on Elm Street 4: The Dream Master,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/A-Nightmare-on-Elm-Street-4.txt,4702,tt0095742,104,
1988,Cinema Paradiso,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Cinema Paradiso Script.html,2011,tt0095765,,
1988,They Live,,,,,,,,,,,,,,,,,,,,,,,,,,,"They Live (John Carpenter as Frank Armitage, Shooting Script, Rev. 2-10-88).pdf",6847,tt0096256,27,
1988,Twins,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Twins Script.html,3625,tt0096320,237,
1988,Working Girl,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.awesomefilm.comscript/workinggirl.txt,5362,tt0096463,135,
1989,The Abyss,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Abyss, The Script.html",1547,tt0096754,118,
1989,Back to the Future Part II,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/back_to_the_future_2_3.pdf,3881,tt0096874,258,
1989,Batman,,,,Shower,1,,,,,,,,,,,Michael Keaton,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Batman.html,725,tt0096895,550,
1989,Born on the Fourth of July,,,,,,,,,,,,,,,,,,,,,,,,,,,Born on the Fourth of July (June 1978 Draft) (scanned).pdf,8025,tt0096969,153,
1989,Dead Poets Society,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Dead Poets Society Script.html,2126,tt0097165,210,
1989,Do the Right Thing,,,,Shower,1,,,,,,,,,,,Spike Lee,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Do-The-Right-Thing.html,861,tt0097216,60,
1989,Drugstore Cowboy,,,,,,,,,,,,,,,,,,,,,,,,,,,Screenplay-Drugstore_Cowboy.pdf,8073,tt0097240,10,
1989,A Dry White Season,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Dry White Season, A Script.html",2190,tt0097243,8,
1989,Erik the Viking,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/erik_the_viking.html,2234,tt0097289,4,
1989,The Fabulous Baker Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/fabulous_baker_boys_april_1985.html,2259,tt0097322,36,
1989,Farewell to the King,,,,,,,,,,,,,,,,,,,,,,,,,,,Farewell to the King [p. 80].pdf,8241,tt0097334,5,
1989,Field of Dreams,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Field of Dreams Script.html,2282,tt0097351,141,
1989,Ghostbusters II,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Ghostbusters 2 Script.html,2405,tt0097428,245,
1989,Glory,,,,,,,,,,,,,,,,,,,,,,,,,,,Glory.pdf,8411,tt0097441,58,
1989,Halloween 5,,,,Shower,1,,,,,,,,Ellie Cornell,,,,,,,,,,,,,,Halloween 5.pdf,6119,tt0097474,25,
1989,Indiana Jones and the Last Crusade,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Indiana Jones and the Last Crusade Script.html,2604,tt0097576,431,
1989,Leviathan,,,,Shower,1,,,,,,,,Amanda Pays,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Leviathan.html,1097,tt0097737,34,
1989,Major League,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Major League Script.html,2824,tt0097815,109,
1989,Christmas Vacation,,,,,,,,,,,,,,,,,,,,,,,,,,,Christmas Vacation.pdf,8011,tt0097958,156,
1989,A Nightmare on Elm Street 5: The Dream Child,,,,Shower,1,,,,,,,,Lisa Wilcox,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/A-Nightmare-on-Elm-Street-5.txt,4703,tt0097981,48,
1989,Pet Sematary,,Bathtub,1,,,,,,,,Dale Midkiff,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Pet-Sematary.html,3082,tt0098084,126,
1989,Say Anything...,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.moviescriptsandscreenplays.com/johncusack/scripts/sayanything.txt,4914,tt0098258,45,
1989,Star Trek V: The Final Frontier,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/Trek/Star_Trek_V.htm,5030,tt0098382,120,
1989,True Believer,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/True%20Believer.txt,5155,tt0098524,19,
1989,We're No Angels,,,,,,,,,,,,,,,,,,,,,,,,,,,were-no-angels_draft2_davidmamet.pdf,6852,tt0098625,23,
1989,When Harry Met Sally...,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/when-harry-met-sally-aug-23-88-numbered-pink.pdf,9223,tt0098635,203,
1989,The Wizard,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wizard, The (1989) [4-12-1989] (1).pdf",8080,tt0098663,31,
1989,"Sex, Lies, and Videotape",,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Sex, Lies and Videotape Script.html",3301,tt0098724,54,
1990,The Adventures of Ford Fairlane,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/ford-fairlane_early.html,3806,tt0098987,44,
1990,Awakenings,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Awakenings.html,706,tt0099077,107,
1990,Back to the Future Part III,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/back_to_the_future_2_3.pdf,3882,tt0099088,180,
1990,Bird on a Wire,,,,,,,,,,,,,,,,,,,,,,,,,,,Bird On A Wire (1988.12.25) [Scan].pdf,8095,tt0099141,146,
1990,The Bonfire of the Vanities,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Bonfire-of-the-Vanities.html,761,tt0099165,32,
1990,Dances with Wolves,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Dances with Wolves Script.html,2100,tt0099348,378,
1990,Days of Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,Days of Thunder.pdf,7383,tt0099371,170,
1990,Die Hard 2,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Die Hard 2 Script.html,2156,tt0099423,242,
1990,Edward Scissorhands,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Edward-Scissorhands.html,878,tt0099487,116,
1990,Ghost,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Ghost Script.html,2389,tt0099653,448,
1990,Goodfellas,,,,Shower,1,,,,,,,,,,,Ray Liotta,,,,,,,,,,,http://www.dailyscript.com/scripts/goodfellas.html,4292,tt0099685,96,
1990,Gremlins 2: The New Batch,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Gremlins-2.html,973,tt0099700,85,
1990,Hardware,,,,Shower,1,,,,,,,,Stacey Travis,,,Dylan McDermott,,,,,,,Together,,,Love scene,http://web.archive.org/web/20040321134849/http://www.kotinet.com/nagtloper/write/hardware.pdf,4334,tt0099740,11,
1990,Home Alone,,,,,,,,,,,,,,,,,,,,,,,,,,,Home Alone (1990.02.02).pdf,7120,tt0099785,588,
1990,The Hunt for Red October,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Hunt for Red October, The Script.html",2578,tt0099810,250,
1990,Jacob's Ladder,C,Bathtub,1,Shower,1,,,,,,Tim Robbins,,Elizabeth Peña,,,Tim Robbins,,,,,,,Together,,,,film_20100519/all_imsdb_05_19_10/Jacob's-Ladder.html,1053,tt0099871,53,
1990,Memphis Belle,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Memphis_Belle.pdf,4609,tt0100133,56,
1990,Misery,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/misery.html,2930,tt0100157,126,
1990,My Blue Heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,My Blue Heaven (1988.11.04).pdf,7926,tt0100212,48,
1990,Narrow Margin,,,,,,,,,,,,,,,,,,,,,,,,,,,Narrow Margin 4.24.89 Revised Pink.pdf,7441,tt0100224,22,
1990,Predator 2,,,,,,,,,,,,,,,,,,,,,,,,,,,PREDATOR 2 (1990) by Jim Thomas & John Thomas [1989.12.15] [2nd] [Scan].pdf,7233,tt0100403,63,
1990,Pretty Woman,C,Bathtub,2,Shower,1,,Julia Roberts,,,,Richard Gere,,,,,Richard Gere,,,,,F,Together,,,,,film_20100519/all_imsdb_05_19_10/Pretty-Woman.html,1245,tt0100405,366,
1990,Revenge,,,,,,,,,,,,,,,,,,,,,,,,,,,Revenge.pdf,7426,tt0100485,32,
1990,Rocky V,,,,,,,,,,,,,,,,,,,,,,,,,,,Rocky V [11-6-1989] [Scan].pdf,7877,tt0100507,84,
1990,To Sleep with Anger,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/To Sleep with Anger Script.html,3569,tt0100791,2,
1990,Total Recall,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Recall (8-22-1989) (Final) (Digital).pdf,7540,tt0100802,244,
1990,Tremors,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Tremors Script.html,3597,tt0100814,34,
1990,Wild at Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Wild At Heart Script.html,3713,tt0100935,30,
1991,The Addams Family,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/the_addams_family.pdf,1555,tt0101272,235,
1991,American Shaolin,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.awesomefilm.com/script/ashaolin.html,3834,tt0101327,,
1991,Barton Fink,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Barton-Fink.html,715,tt0101410,12,
1991,Cape Fear,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Fear - 1990-08-31 - Draft.pdf,7382,tt0101540,163,
1991,Career Opportunities,,,,,,,,,,,,,,,,,,,,,,,,,,,Career Opportunities [John Hughes] [09.12.89] [Scan].pdf,6611,tt0101545,23,
1991,Curly Sue,,,,,,,,,,,,,,,,,,,,,,,,,,,Curly Sue [John Hughes] [07.01.90] [Scan].pdf,6612,tt0101635,69,
1991,Dead Again,,Bathtub,1,,,,Emma Thompson,,,,,,,,,,,,,,,,,,,,DEAD AGAIN by Scott Frank [1990-8-27].pdf,7549,tt0101669,78,
1991,Deceived,,,,,,,,,,,,,,,,,,,,,,,,,,,Deceived (1991).pdf,7870,tt0101694,59,
1991,Defending Your Life,,,,,,,,,,,,,,,,,,,,,,,,,,,DEFENDING YOUR LIFE by Albert Brooks [1989.11.01] [Scan].pdf,8274,tt0101698,33,
1991,The Doors,,Bathtub,1,,,,,,,,Val Kilmer,,,,,,,,,,,,,,,Kilmer dead in the bathtub,"film_20100519/all_imsdb_05_19_10/Doors,-The.html",871,tt0101761,72,
1991,The Fisher King,,Bathtub,1,,,,,,,,Jeff Bridges,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/fisher-king_early.html,4216,tt0101889,86,
1991,Freddy's Dead: The Final Nightmare,,,,,,,,,,,,,,,,,,,,,,,,,,,Nightmare On Elm Street 6 - Freddys Dead (1991) [1990-10-29] [3rd Num.] [Rev. 1990-12-19] [Scan].pdf,6356,tt0101917,72,
1991,Hook,,,,,,,,,,,,,,,,,,,,,,,,,,,Hook (early).pdf,8618,tt0102057,247,
1991,Hudson Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Hudson_Hawk.PDF,2569,tt0102070,35,
1991,JFK,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/JFK Script.html,2682,tt0102138,145,
1991,Kafka,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Kafka.html,1067,tt0102181,2,
1991,The Last Boy Scout,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Last-Boy-Scout,-The.html",1085,tt0102266,122,
1991,Little Man Tate,,,,,,,,,,,,,,,,,,,,,,,,,,,Little Man Tate (1990.05.14).pdf,7535,tt0102316,51,
1991,The Marrying Man,,,,,,,,,,,,,,,,,,,,,,,,,,,"MARRYING MAN, THE (1991) by Neil Simon [1989.10.25] [Scan].pdf",7135,tt0102411,25,
1991,My Girl 2,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/My-Girl.html,1178,tt0102492,123,
1991,Naked Lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,Naked Lunch (1991) [1990-2-12] [1st] [Scan].pdf,7212,tt0102511,5,
1991,Rambling Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Rambling Rose Script.html,3174,tt0102753,12,
1991,Ricochet,,,,Shower,1,,,,,,,,,,,John Lithgow,Denzel Washington,,,,,,Together,,,,Ricochet (1990.11.07).pdf,6731,tt0102789,45,
1991,The Rocketeer,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rocketeer, The (1990.03.02).pdf",6727,tt0102803,96,
1991,The Silence of the Lambs,C,,,Shower,1,,,,,,,,Jodie Foster,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Silence-of-the-Lambs.html,1330,tt0102926,270,
1991,Star Trek VI: The Undiscovered Country,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/Trek/Star_Trek_VI.htm,5033,tt0102975,154,
1991,Terminator 2: Judgment Day,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/scripts/t2.txt,5104,tt0103064,423,
1991,Thelma & Louise,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.angelfire.com/movies/ridleyscott/script/ThelmaAndLouise.txt,3519,tt0103074,93,
1992,1492: Conquest of Paradise,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.angelfire.com/movies/ridleyscott/script/1492-ConquestOfParadise.txt,3778,tt0103594,15,
1992,Alien³,,,,Shower,,,,,,,,,Sigourney Weaver,,,,,,,,,,,,,,http://www.horrorlair.com/scripts/alien3_hill.html,1582,tt0103644,116,
1992,Bad Lieutenant,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Bad-Lieutenant.html,712,tt0103759,4,
1992,Basic Instinct,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Basic-Instinct.html,718,tt0103772,247,
1992,Light Sleeper,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Light Sleeper Script.html,2770,tt0102307,2,
1992,The Bodyguard,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Bodyguard.html,759,tt0103855,255,
1992,Dracula,,,,,,,,,,,,,,,,,,,,,,,,,,,BRAM STOKER'S DRACULA (1992) by James V. Hart [1991.04.16] [2nd] [Scan].pdf,6105,tt0103874,172,
1992,Buffy the Vampire Slayer,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/buffy_the_vampire_slayer.html,1939,tt0103893,34,
1992,Candyman,C,Bathtub,1,,,,Virginia Madsen,,,,,,,,,,,,,,,,,,,,"Candyman (Bernard Rose) (Draft Revised - August 1991, Corrected).pdf",8645,tt0103919,54,
1992,Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaplin (Shooting Script).pdf,8103,tt0103939,19,
1992,The Crying Game,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Crying Game Script.html,2093,tt0104036,131,
1992,The Cutting Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,"CUTTING EDGE, THE (1992) by Tony Gilroy [1990.03.15] [Scan].pdf",7067,tt0104040,52,
1992,Death Becomes Her,,,,,,,,,,,,,,,,,,,,,,,,,,,Death Becomes Her (1991.07.25) [Scan].pdf,7342,tt0104070,122,
1992,Deep Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Deep-Cover.html,852,tt0104073,34,
1992,The Distinguished Gentleman,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Distinguished Gentleman, The Script.html",2160,tt0104114,97,
1992,A Few Good Men,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/A Few Good Men Script.html,1538,tt0104257,295,
1992,Glengarry Glen Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Glengarry Glen Gross Script.html,2412,tt0104348,22,
1992,The Hand That Rocks the Cradle,C,,,Shower,1,,,,,,,,Annabella Sciorra,,,,,,,,,,,,,Sciorra showers after she's been groped by her gynecologist,"Hand That Rocks the Cradle, The (2nd draft).pdf",8480,tt0104389,184,
1992,Hero,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/hero1.html,4354,tt0104412,40,
1992,Jennifer 8,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Jennifer Eight Script.html,2675,tt0104549,23,
1992,Knight Moves,,Bathtub,1,,,,Kehli O'Byrne,,,,,,,,,,,,,,,,,,,,http://www.scifiscripts.com/msol/Knight_m.txt,4487,tt0104627,1,
1992,The Last of the Mohicans,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/last-of-the-mohicans-script.html,4503,tt0104691,151,
1992,Malcolm X,,,,Shower,1,,,,,,,,,,,Denzel Washington,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Malcolm-X.html,1126,tt0104797,101,
1992,Man Trouble,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Man-Trouble.html,1129,tt0104804,8,
1992,El mariachi,,Bathtub,1,,,,,,,,Carlos Gallardo,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Mariachi,-El.html",1137,tt0104815,4,
1992,Memoirs of an Invisible Man,,,,,,,,,,,,,,,,,,,,,,,,,,,memoirs of an invisible man.pdf,7323,tt0104850,30,
1992,My Cousin Vinny,,,,,,,,,,,,,,,,,,,,,,,,,,,my-cousin-vinny-screenplay.pdf,8253,tt0104952,110,
1992,Newsies,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Newsies.html,1188,tt0104990,5,
1992,Pet Sematary II,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Pet-Sematary-II.html,1223,tt0105128,35,
1992,Reservoir Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Reservoir Dogs Script.html,3202,tt0105236,5,
1992,Single White Female,C,Bathtub,2,Shower,1,,Jennifer Jason Leigh,,,,,,Jennifer Jason Leigh,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Single White Female Script.html,3347,tt0105414,100,
1992,Sneakers,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/sneakers.pdf,9135,tt0105435,107,
1992,Thunderheart,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Thunderheart.html,1409,tt0105585,47,
1992,Twin Peaks: Fire Walk with Me,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Twin+Peaks+-+Fire+Walk+With+Me.txt,5166,tt0105665,8,
1992,Army of Darkness,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Army of Darkness Script.html,1696,tt0106308,24,
1993,"Bodies, Rest & Motion",,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Bodies, Rest & Motion Script.html",1870,tt0106447,1,
1993,Body of Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Body-of-Evidence.html,757,tt0106453,27,
1993,Cliffhanger,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/cliffhanger_stallone.html,2027,tt0106582,176,
1993,Dazed and Confused,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/dazed-confused-feb20-92-numbered.pdf,8809,tt0106677,16,
1993,Even Cowgirls Get the Blues,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Even Cowgirls Get the Blues Script.html,2243,tt0106834,3,
1993,Fatal Instinct,,Bathtub,3,,,,Sean Young,Kate Nelligan,,,Armand Assante,,,,,,,,,,F,Together,,,,Spoof of Fatal Attraction and Basic Instinct,http://www.imsdb.com/Movie Scripts/Fatal Instinct Script.html,2273,tt0106873,16,
1993,The Fugitive,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Fugitive, The Script.html",2347,tt0106977,386,
1993,Red Rock West,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Rock West (1992).pdf,8054,tt0105226,5,
1993,Groundhog Day,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Groundhog-Day.html,975,tt0107048,148,
1993,Malice,,,,,,,,,,,,,,,,,,,,,,,,,,,MALICE (1993) by Scott Frank (aka Damages) [1992-2-4] [Rev.] [Scan].pdf,7548,tt0107497,96,
1993,Manhattan Murder Mystery,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Manhattan Murder Mystery Script.html,2846,tt0107507,23,
1993,Needful Things,,,,,,,,,,,,,,,,,,,,,,,,,,,Needful Things.pdf,6554,tt0107665,31,
1993,A Perfect World,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Perfect-World,-A.html",1222,tt0107808,65,
1993,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Philadelphia Script.html,3087,tt0107818,162,
1993,Schindler's List,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/schindlers-list-numbered.pdf,9116,tt0108052,201,
1993,Searching for Bobby Fischer,,,,,,,,,,,,,,,,,,,,,,,,,,,Searching for Bobby Fischer.pdf,6576,tt0108065,15,
1993,Six Degrees of Separation,,,,Shower,1,,,,,,,,,,,Donald Sutherland,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Six Degrees of Separation Script.html,3350,tt0108149,13,
1993,Sleepless in Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.awesomefilm.comscript/s_seatl.html,3357,tt0108160,266,
1993,So I Married an Axe Murderer,,Bathtub,1,Shower,1,,Nancy Travis,,,,Charlie Sheen,,Amanda Plummer,,,,,,,,,Together,,,,,film_20100519/all_imsdb_05_19_10/So-I-Married-an-Axe-Murderer.html,1342,tt0108174,24,
1993,Spare Me,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Spare-Me.html,1347,tt0108200,,
1993,This Boy's Life,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/This-Boy's-Life.html,1406,tt0108330,8,
1993,The Three Musketeers,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Three Musketeers, The Script.html",3546,tt0108333,113,
1993,Tombstone,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/tombstone.pdf,3572,tt0108358,118,
1993,True Romance,,Bathtub,1,,,,Patricia Arquette,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/True Romance Script.html,3612,tt0108399,25,
1994,Clerks,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Clerks Script.html,2020,tt0109445,6,
1994,Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Cobb.html,813,tt0109450,2,
1994,Color of Night,,Bathtub,1,Shower,1,,Jane March,,,,Bruce Willis,,Jane March,,,Bruce Willis,,,,,,Together,Together,,,Shower sex scene,http://www.imsdb.com/Movie Scripts/Color of Night Script.html,2042,tt0109456,41,
1994,The Crow,,Bathtub,1,,,,Sofia Shinas,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Crow, The Script.html",2087,tt0109506,105,
1994,Dumb & Dumber,,,,Shower,1,Jacuzzi,,,,,,,Lauren Holly,,,Jim Carrey,,,,Jeff Daniels; Jim Carrey,,,Together,,Together,,http://www.imsdb.com/Movie Scripts/Dumb and Dumber Script.html,2193,tt0109686,264,
1994,Ed Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/ed-wood-nov-20-92-1st.pdf,8831,tt0109707,12,
1994,Forrest Gump,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Forrest-Gump.html,921,tt0109830,686,
1994,Mary Shelley's Frankenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.dailyscript.com/scripts/Frankenstein+(1994).txt,4228,tt0109836,45,
1994,Heavenly Creatures,,Bathtub,2,,,,Melanie Lynskey,Kate Winslet,,,,,,,,,,,,,F,Together,,,,,http://www.imsdb.com/Movie Scripts/Heavenly Creatures Script.html,2505,tt0110005,6,
1994,The Hudsucker Proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Hudsucker-Proxy,-The.html",1021,tt0110074,5,
1994,I'll Do Anything,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/I'll Do Anything Script.html,2587,tt0110097,21,
1994,Interview with the Vampire: The Vampire Chronicles,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Interview with the Vampire Script.html,2622,tt0110148,218,
